column1;column2;column3;column4
0.001;0.005916;7794;0
0.001035;0.006244;7245;0
0.001072;0.006587;7924;0
0.0015;0.01065;3801;0
0.002;0.01541;1917;0
0.003;0.02459;700.3;0
0.004;0.03292;335.1;0
0.004557;0.03712;658.5;0
0.004702;0.03816;616.6;0
0.004852;0.03923;771.9;0
0.005;0.04026;727.7;0
0.005188;0.04155;760.4;0
0.006;0.04679;529.7;0
0.008;0.05799;248.9;0
0.01;0.06731;137.5;0
0.015;0.0841;45.7;0
0.02;0.09463;20.62;0
0.03;0.1067;6.607;0
0.03317;0.109;29.76;0
0.04;0.1127;18.24;0
0.05;0.1157;10.06;0
0.06;0.1169;6.111;0
0.08;0.1165;2.746;0
0.1;0.1144;1.462;0
0.15;0.1071;0.4592;0
0.2;0.1;0.2019;0
0.3;0.0886;0.06481;0
0.4;0.08009;0.02987;0
0.5;0.07351;0.01684;0
0.6;0.06822;0.01079;0
0.8;0.06012;0.005588;0
1;0.05413;0.003491;0
1.022;0.05355;0.003323;0
1.25;0.04846;0.00224;0.0001634
1.5;0.04407;0.001604;0.0007594
2;0.03764;0.0009761;0.002575
2.044;0.03717;0.0009415;0.002751
3;0.02963;0.0005178;0.00652836
4;0.02472;0.0003428;0.01005228
5;0.02135;0.0002535;0.01311417
6;0.01887;0.0002;0.0157591
7;0.01697;0.0001647;0.0181239
8;0.01544;0.0001398;0.0202573
9;0.0142;0.0001212;0.0221889
10;0.01315;0.0001069;0.0239583
11;0.01227;0.00009565;0.0255956
12;0.0115;0.00008648;0.0271008
13;0.01084;0.00007888;0.028514
14;0.01025;0.00007249;0.0298055
15;0.009737;0.00006706;0.0310054
16;0.009271;0.0000624;0.0321239
18;0.008471;0.00005472;0.0341662
20;0.007811;0.00004873;0.0359942